SampleID,SiteID,Date,Year,State,StreamName,LatutudeWQ,LongitudeWQ,HabitatType,habitat,WaterTemp_C,DOPercent,DO_mgL,Turbidity_NTU,Conductivity_Scm,pH,Topeka_Shiner
42,62916-2,29-Jun-16,2016,IA,Camp_Creek,42.35991188,-94.82730736,Restored_Oxbow,oxbow,25.9,,5.4,31.2,494.2,8.2,0
10,60816-1,8-Jun-16,2016,IA,Cedar_Creek,42.2573437,-94.5314167,Restored_Oxbow,oxbow,29,,6.34,34.1,504,8.5,0
13,60816-3,8-Jun-16,2016,IA,Cedar_Creek,42.25681541,-94.53055335,Restored_Oxbow,oxbow,23.8,,4.87,46.7,507,8.4,0
219,52417-1,24-May-17,2017,MN,Trib_to_Rock_River,43.92928683,-96.18498865,Restored_Oxbow,oxbow,26,,7.19,22.2,508.7,8.3,31
44,63016-2,30-Jun-16,2016,IA,Cedar_Creek,42.1773511,-94.56013048,Restored_Oxbow,oxbow,22.2,,4.92,24.6,514.2,8.3,0
81,80316-1,3-Aug-16,2016,IA,Cedar_Creek,42.24967431,-94.53411248,Restored_Oxbow,oxbow,23.86,,5.73,26,519.1,8.4,0
218,52417-6,24-May-17,2017,MN,Trib_to_Rock_River,43.86694419,-96.20430149,Restored_Oxbow,oxbow,25.51,,6.51,25.7,519.9,8.4,221
120,Lyons_120_Oxbow,13-Oct-16,2016,IA,Lyons_Creek,42.47552093,-93.78352517,Restored_Oxbow,oxbow,26.4,,6.72,17.8,525,8.5,0
36,62216-2,22-Jun-16,2016,IA,Lake_Creek,42.30144347,-94.69717273,Restored_Oxbow,oxbow,35.4,,9.37,51.3,528,8.6,0
2,60216-2,2-Jun-16,2016,IA,Prairie_Creek,42.2611013,-94.80033754,Restored_Oxbow,oxbow,23.5,,6.43,2.77,531,8.9,0
220,52417-2,24-May-17,2017,MN,Trib_to_Rock_River,43.93174708,-96.18571855,Restored_Oxbow,oxbow,24.36,,5.79,28.3,534.8,8.3,223
57,71116-2,11-Jul-16,2016,IA,West_Buttrick_Creek,42.12138309,-94.3192147,Restored_Oxbow,oxbow,26.54,,8.9,32.8,544,8.05,19
121,WFC_JonesWest_Oxbow,12-Oct-16,2016,IA,White_Fox_Creek,42.59629062,-93.75783516,Restored_Oxbow,oxbow,22.1,,9.6,9.1,565,8.8,0
98,Prairie_3_Oxbow,18-Jul-16,2016,IA,Prairie_Creek,42.87326272,-93.99424142,Restored_Oxbow,oxbow,26.1,,2.95,80,567,8.4,148
174,71317-1,13-Jul-17,2017,IA,Lake_Creek,42.24597656,-94.78128978,Restored_Oxbow,oxbow,24.01,,5.11,18.5,568,8.25,0
82,80316-2,3-Aug-16,2016,IA,Cedar_Creek,42.25008447,-94.53417758,Restored_Oxbow,oxbow,25.75,,6.61,26.4,571.1,8.4,0
135,60817-2,8-Jun-17,2017,IA,West_Buttrick_Creek,42.12137603,-94.3192878,Restored_Oxbow,oxbow,24.48,,8.9,32.8,574,8.25,0
