
	ALL WATERSHED COMBINED

Y[i] ~ dbern(p[i])
    logit(p[i]) <- alpha[Watshed[i]] + 
      beta[1]* Agr[i] +
      beta[2] * Elv[i] +
      beta[3] * Area[i] +
      beta[4] * Slop[i] +
      beta[5] * s[i]
    
    # connectivity summed over j
    # subtract c[i,Segment_id[i]] from the sum; self-connection removal
    s[i] <- sum(c[i,]) - c[i, Segment_id[i]]
    
    # connectivity measure for a specific pair of i and j
    for(j in 1:N_site) {
      c[i,j] <- exp(u[i,j] + d[i,j])
      
      u[i,j] <- -alpha[1] * U[Segment_id[i], j]
      d[i,j] <- -alpha[2] * D[Segment_id[i], j]


                mean          sd          2.5%           50%      97.5% Rhat n.eff
s[159]    7.20756221 14.21508194  3.752192e+00  5.7446150000 15.9707200 1.22  1237
s[160]    7.20756221 14.21508194  3.752192e+00  5.7446150000 15.9707200 1.22  1237
s[161]    4.62611835 14.78402002  2.147187e+00  3.0812850000 12.5950850 1.23  1228
s[162]    7.38749680 14.28518578  3.913678e+00  5.9188750000 16.1883900 1.22  1234
s[163]   11.14465547 12.51498347  5.648584e+00  8.7807300000 28.5041950 1.13  1282
s[164]   12.20229153 11.79427895  6.734599e+00  9.9871300000 27.9917950 1.14  1292
s[165]   10.84430255 10.76205449  5.358954e+00  9.0908850000 24.8730550 1.14  1303
s[166]    1.37953712  0.82449827  4.975989e-01  1.1608000000  3.5616737 1.01  1354
s[167]    1.26403523  2.21410064  9.286317e-02  0.6566915000  6.1311322 1.01  1298
s[168]    3.48450120  1.11601307  2.197467e+00  3.2874200000  5.9333865 1.02  1439
s[169]    4.20835543  3.33656795  2.233093e+00  3.5560350000  9.2989275 1.16  1389
s[170]    2.03696815  4.48493369  2.885396e-01  1.2707800000  7.9601817 1.16  1318
s[171]    5.44359605  6.67434774  1.889577e+00  4.0585250000 16.1895750 1.12  1327
s[172]    5.81862433  9.57623057  2.423738e+00  4.1705100000 18.1199225 1.14  1269
s[173]    4.58833211  5.23415978  1.829570e+00  3.6547250000 12.2824750 1.14  1333
s[174]    7.19856287  8.38423541  2.074144e+00  5.4032300000 21.7871675 1.09  1337
s[175]    4.00650265  9.66356888  2.911470e-01  1.9638500000 18.5881625 1.11  1277
s[176]   10.45162462  8.52615797  5.657766e+00  8.6826700000 24.9880525 1.10  1318
s[177]    9.22004032 13.10584152  3.774371e+00  6.9897950000 25.7100525 1.14  1271
s[178]    7.73735545 10.14024790  3.574550e+00  6.0216700000 20.9624300 1.15  1298
s[179]    3.63151683 15.32282864  1.226584e+00  2.2912350000 10.1346350 1.24  1229
s[180]   11.52252737 11.83348776  5.717260e+00  9.2993450000 27.7750875 1.13  1298
s[181]   11.52359709 11.04369411  5.818592e+00  9.6760150000 26.2983275 1.14  1298
s[182]    4.63547019  9.88316275  9.701180e-01  2.8600350000 17.2795525 1.14  1282
s[183]    4.52641524 13.75482345  1.572126e+00  2.8716550000 14.2426875 1.20  1238
s[184]    8.86691347 13.03519390  3.171070e+00  6.5351950000 26.3108975 1.14  1278
s[185]    8.97940196 11.80251330  2.835165e+00  6.6826550000 26.0818950 1.13  1308
s[186]    1.35560057  0.88651287  4.319429e-01  1.1224100000  3.6732212 1.01  1349
s[187]    2.07646862  1.62946971  6.611642e-01  1.5645700000  6.1780580 1.00  1362
s[188]    3.30765296  2.30405331  1.605659e+00  2.6278300000  8.8468937 1.00  1292
s[189]    0.85385466  2.06002201  1.137712e-01  0.4152985000  4.0612850 1.03  1235
s[190]    3.04559399  3.30406888  9.047666e-01  2.4174600000  8.3449355 1.15  1414
